index	prediction	ground_trouth
141	Preparation	Preparation
142	Ingredient	Preparation
143	Amount	Amount
144	Time	Time
145	Time	Time
146	Ingredient	Ingredient
147	Time	Time
148	Amount	Miscellaneous
149	Preparation	Cooking technique
150	Preparation	Preparation
151	Amount	Amount
152	Time	Time
153	Ingredient	Ingredient
154	Preparation	Preparation
155	Preparation	Preparation
156	Miscellaneous	Miscellaneous
157	Equipment	Equipment
158	Knowledge	Knowledge
159	Amount	Amount
160	Recipe	Miscellaneous
161	Knowledge	Ingredient
162	Preparation	Preparation
163	Recipe	Preparation
164	Amount	Amount
165	Ingredient	Ingredient
166	Recipe	Recipe
167	Ingredient	Recipe
168	Ingredient	Preparation
169	Amount	Amount
170	Amount	Amount
171	Amount	Preparation
172	Ingredient	Ingredient
173	Preparation	Preparation
174	Ingredient	Ingredient
175	Cooking technique	Cooking technique
176	Knowledge	Cooking technique
177	Amount	Amount
178	Amount	Amount
179	Equipment	Equipment
180	Ingredient	Ingredient
181	Recipe	Meal
182	Ingredient	Ingredient
183	Ingredient	Ingredient
184	Amount	Amount
185	Ingredient	Ingredient
186	Preparation	Ingredient
187	Preparation	Preparation
188	Preparation	Preparation
189	Ingredient	Preparation
190	Amount	Amount
191	Amount	Amount
192	Equipment	Preparation
193	Amount	Amount
194	Preparation	Ingredient
195	Time	Ingredient
196	Preparation	Ingredient
197	Temperature	Temperature
198	Equipment	Preparation
199	Preparation	Time
200	Amount	Amount
201	Equipment	Equipment
202	Temperature	Preparation
203	Knowledge	Knowledge
204	Cooking technique	Preparation
205	Amount	Amount
206	Preparation	Preparation
207	Amount	Amount
208	Preparation	Preparation
209	Amount	Amount
210	Temperature	Temperature
211	Recipe	Recipe
212	Cooking technique	Preparation
213	Recipe	Ingredient
214	Time	Time
215	Preparation	Preparation
216	Ingredient	Preparation
217	Time	Time
218	Preparation	Ingredient
219	Preparation	Amount
220	Cooking technique	Miscellaneous
221	Ingredient	Ingredient
222	Preparation	Preparation
223	Cooking technique	Ingredient
224	Preparation	Ingredient
225	Amount	Amount
226	Amount	Amount
227	Temperature	Temperature
228	Preparation	Cooking technique
229	Cooking technique	Ingredient
230	Cooking technique	Recipe
231	Ingredient	Ingredient
232	Preparation	Preparation
233	Knowledge	Ingredient
234	Preparation	Preparation
235	Amount	Amount
236	Recipe	Recipe
237	Recipe	Recipe
238	Ingredient	Ingredient
239	Preparation	Preparation
240	Preparation	Preparation
241	Cooking technique	Preparation
242	Preparation	Preparation
243	Preparation	Preparation
244	Ingredient	Preparation
245	Amount	Amount
246	Ingredient	Ingredient
247	Amount	Amount
248	Preparation	Preparation
249	Preparation	Ingredient
250	Knowledge	Knowledge
251	Ingredient	Ingredient
252	Preparation	Preparation
253	Ingredient	Ingredient
254	Time	Time
255	Amount	Amount
256	Recipe	Preparation
257	Recipe	Recipe
258	Ingredient	Amount
259	Ingredient	Ingredient
260	Ingredient	Ingredient
261	Amount	Ingredient
262	Preparation	Preparation
263	Recipe	Recipe
264	Preparation	Preparation
265	Knowledge	Preparation
266	Preparation	Preparation
267	Amount	Amount
