index	prediction	ground_trouth
143	Amount	Amount
144	Time	Time
145	Time	Time
146	Recipe	Ingredient
147	Time	Time
148	Amount	Miscellaneous
149	Preparation	Cooking technique
150	Recipe	Preparation
151	Amount	Amount
152	Time	Time
153	Preparation	Ingredient
154	Recipe	Preparation
155	Preparation	Preparation
156	Miscellaneous	Miscellaneous
157	Knowledge	Equipment
158	Recipe	Knowledge
159	Amount	Amount
160	Recipe	Miscellaneous
161	Recipe	Ingredient
162	Preparation	Preparation
163	Ingredient	Preparation
164	Amount	Amount
165	Ingredient	Ingredient
166	Recipe	Recipe
167	Recipe	Recipe
168	Ingredient	Preparation
169	Amount	Amount
170	Amount	Amount
171	Amount	Preparation
172	Recipe	Ingredient
173	Preparation	Preparation
174	Cooking technique	Ingredient
175	Ingredient	Cooking technique
176	Knowledge	Cooking technique
177	Amount	Amount
178	Amount	Amount
179	Equipment	Equipment
180	Ingredient	Ingredient
181	Recipe	Meal
182	Preparation	Ingredient
183	Ingredient	Ingredient
184	Amount	Amount
185	Ingredient	Ingredient
186	Preparation	Ingredient
187	Preparation	Preparation
188	Preparation	Preparation
189	Ingredient	Preparation
190	Amount	Amount
191	Amount	Amount
192	Ingredient	Preparation
193	Amount	Amount
194	Amount	Ingredient
195	Time	Ingredient
196	Preparation	Ingredient
197	Equipment	Temperature
198	Miscellaneous	Preparation
199	Preparation	Time
200	Amount	Amount
201	Preparation	Equipment
202	Preparation	Preparation
203	Knowledge	Knowledge
204	Cooking technique	Preparation
205	Amount	Amount
206	Preparation	Preparation
207	Amount	Amount
208	Preparation	Preparation
209	Amount	Amount
210	Temperature	Temperature
211	Recipe	Recipe
212	Preparation	Preparation
213	Ingredient	Ingredient
214	Time	Time
215	Preparation	Preparation
216	Ingredient	Preparation
217	Time	Time
218	Preparation	Ingredient
219	Preparation	Amount
220	Ingredient	Miscellaneous
221	Ingredient	Ingredient
222	Preparation	Preparation
223	Miscellaneous	Ingredient
224	Cooking technique	Ingredient
225	Amount	Amount
226	Amount	Amount
227	Temperature	Temperature
228	Preparation	Cooking technique
229	Preparation	Ingredient
230	Cooking technique	Recipe
231	Ingredient	Ingredient
232	Recipe	Preparation
233	Recipe	Ingredient
234	Preparation	Preparation
235	Amount	Amount
236	Recipe	Recipe
237	Recipe	Recipe
238	Recipe	Ingredient
239	Cooking technique	Preparation
240	Preparation	Preparation
241	Preparation	Preparation
242	Preparation	Preparation
243	Ingredient	Preparation
244	Recipe	Preparation
245	Amount	Amount
246	Ingredient	Ingredient
247	Amount	Amount
248	Preparation	Preparation
249	Preparation	Ingredient
250	Knowledge	Knowledge
251	Recipe	Ingredient
252	Preparation	Preparation
253	Ingredient	Ingredient
254	Time	Time
255	Amount	Amount
256	Preparation	Preparation
257	Recipe	Recipe
258	Ingredient	Amount
259	Ingredient	Ingredient
260	Amount	Ingredient
261	Amount	Ingredient
262	Preparation	Preparation
263	Recipe	Recipe
264	Preparation	Preparation
265	Preparation	Preparation
266	Preparation	Preparation
267	Amount	Amount
