,id,label,text
33,2413,Cooking technique,"Okay, so now I've washed it and now what? And the tip does not have to go away or?"
34,2495,Cooking technique,"And the tip does not have to go away or? but I have to leave the tips on, so as far as I know the tips stay on, can you google that?"
35,2460,Cooking technique,"but I have to leave the tips on, so as far as I know the tips stay on, can you google that? So that can stay on. Apparently."
36,2489,Cooking technique,So that can stay on. Apparently. I would actually rather watch a video on peeling asparagus is that possible?
37,1656,Preparation,"I would actually rather watch a video on peeling asparagus is that possible? So peel the asparagus and then cut it into bite-sized pieces, right?"
38,1657,Preparation,"So peel the asparagus and then cut it into bite-sized pieces, right? Next?"
39,1890,Preparation,"Next? Yes, you can of course skip that, what concerns potatoes and everything."
40,1891,Preparation,"Yes, you can of course skip that, what concerns potatoes and everything. I just want to jump to the sauce."
41,1892,Preparation,I just want to jump to the sauce. How to prepare the sauce because we have no potatoes and no salmon so I'm only interested in the asparagus and only the sauce.
42,892,Amount,How to prepare the sauce because we have no potatoes and no salmon so I'm only interested in the asparagus and only the sauce. For how many people is the recipe that you read to me?
43,1602,Preparation,For how many people is the recipe that you read to me? Ok and the sauce?
44,464,Amount,Ok and the sauce? Especially with the quantities.
45,1603,Preparation,Especially with the quantities. Can you read it to me
46,1175,Ingredient,Can you read it to me Ok so it belongs IN the sauce
47,1236,Ingredient,Ok so it belongs IN the sauce Ok so it goes IN the sauce
48,2692,Recipe,Ok so it goes IN the sauce Google cream egg sauce.
49,2650,Recipe,Google cream egg sauce. What was the first?
50,2605,Recipe,What was the first? Give it to me.
51,2606,Recipe,"Give it to me. Well, what ingredients how to make it?"
52,1658,Preparation,"Well, what ingredients how to make it? Mmm? And now..."
53,2496,Cooking technique,Mmm? And now... Maybe if you googled white asparagus fry?
54,1659,Preparation,Maybe if you googled white asparagus fry? Mhm
55,1631,Preparation,Mhm Uh again um so what butter uh oil in a pan?
56,1660,Preparation,Uh again um so what butter uh oil in a pan? Next?
57,1926,Preparation,Next? I would then cut it as small pieces not as whole asparagus spears so that takes shorter or?
58,1893,Preparation,I would then cut it as small pieces not as whole asparagus spears so that takes shorter or? And the cream sauce from the other dish what you have just read out there so the one before that
59,2490,Cooking technique,And the cream sauce from the other dish what you have just read out there so the one before that How much fun- um how much do you have to cut away from the end of the asparagus?
60,2414,Cooking technique,How much fun- um how much do you have to cut away from the end of the asparagus? Two to three centimeters?
61,2461,Cooking technique,Two to three centimeters? Two to three.
62,2462,Cooking technique,Two to three. So fresh asparagus? One to two
63,1604,Preparation,So fresh asparagus? One to two So then uh read out the sauce again
64,1605,Preparation,"So then uh read out the sauce again Yes, read it out?"
65,465,Amount,"Yes, read it out? How much flour?"
66,466,Amount,How much flour? And uh how much cream and so on? So read out the quantities
67,893,Amount,And uh how much cream and so on? So read out the quantities Or how many people is it for?
68,826,Amount,Or how many people is it for? 150 milliliters.
69,1124,Ingredient,150 milliliters. Do scrambled eggs go into the sauce?
70,1176,Ingredient,Do scrambled eggs go into the sauce? They don't belong in the sauce.
71,1237,Ingredient,They don't belong in the sauce. It doesn't go in the sauce.
72,1894,Preparation,It doesn't go in the sauce. Can you read me the steps for the sauce again and not start with the ham but start with the sauce.
73,467,Amount,Can you read me the steps for the sauce again and not start with the ham but start with the sauce. How much broth was it? 100 something milliliters or?
74,760,Amount,How much broth was it? 100 something milliliters or? 100 something milliliters or?
75,1632,Preparation,100 something milliliters or? What so I fry now then the asparagus and then comes flour and paprika powder to it and then I pour it with the broth on.
76,1927,Preparation,What so I fry now then the asparagus and then comes flour and paprika powder to it and then I pour it with the broth on. Yes so then comes the GeMÜsebrühe to the cream sauce and then comes the cream to it or?
77,1661,Preparation,Yes so then comes the GeMÜsebrühe to the cream sauce and then comes the cream to it or? Yes
78,1928,Preparation,Yes Uh do you look at the asparagus again like um if you have to sauté on medium heat and again the number of minutes I think six to seven minutes.
79,2340,Temperature,Uh do you look at the asparagus again like um if you have to sauté on medium heat and again the number of minutes I think six to seven minutes. if you have to fry it on medium heat and again the number of minutes I think six to seven minutes.
80,1929,Preparation,if you have to fry it on medium heat and again the number of minutes I think six to seven minutes. Um at what heat so medium heat strong heat weak heat So I do now between medium and strong.
81,2360,Temperature,Um at what heat so medium heat strong heat weak heat So I do now between medium and strong. Um at what heat so medium heat strong heat weak heat
82,102,Time,Um at what heat so medium heat strong heat weak heat But medium heat is what I wanted to know.
83,1441,Ingredient,But medium heat is what I wanted to know. Huh? That was the whole asparagus spears or?
84,1536,Ingredient,"Huh? That was the whole asparagus spears or? Huh? That was the whole asparagus spears, wasn't it?"
85,122,Time,"Huh? That was the whole asparagus spears, wasn't it? Yes? I wanted to know medium heat."
86,227,Time,Yes? I wanted to know medium heat. So again the number of minutes for SMALL cut asparagus?
87,468,Amount,So again the number of minutes for SMALL cut asparagus? The milliliter number of the vegetable broth
88,469,Amount,The milliliter number of the vegetable broth And for the cream?
89,894,Amount,"And for the cream? Google scrambled eggs as a side dish, how many per person?"
90,1317,Ingredient,"Google scrambled eggs as a side dish, how many per person? Google tomatoes and asparagus. Whether that fits together."
91,2693,Recipe,Google tomatoes and asparagus. Whether that fits together. So again tomatoes and asparagus. What there are so for dishes.
92,2762,Recipe,So again tomatoes and asparagus. What there are so for dishes. Ne
93,1318,Ingredient,Ne Do scrambled eggs to asparagus
94,1319,Ingredient,Do scrambled eggs to asparagus Yes can google but
95,1606,Preparation,Yes can google but Really? Read once before
96,2607,Recipe,Really? Read once before Yes how to make the sauce now.
97,470,Amount,Yes how to make the sauce now. Um flour was three quarters of a tablespoon.
98,827,Amount,Um flour was three quarters of a tablespoon. Um flour was three quarters of a tablespoon.
99,1662,Preparation,Um flour was three quarters of a tablespoon. And then?
100,1930,Preparation,"And then? Let it boil in the meantime, right?"
101,2125,Preparation,"Let it boil in the meantime, right? And then add the cream"
102,1663,Preparation,And then add the cream And then salt and pepper? Or
103,2662,Recipe, Okay. Alex Please look for recipes for a beer soup with um with cream and wheat beer and butter and flour.
104,2694,Recipe,Okay. Alex Please look for recipes for a beer soup with um with cream and wheat beer and butter and flour. Okay. Alex Please look for recipes for a beer soup with um with cream and wheat beer and butter and flour.
105,1071,Ingredient,Okay. Alex Please look for recipes for a beer soup with um with cream and wheat beer and butter and flour. Can you tell me exactly what's in it?
106,1664,Preparation,Can you tell me exactly what's in it? Mmm?
107,1633,Preparation,"Mmm? Okay, first of all, can you do it again slowly, please?"
108,1055,Ingredient,"Okay, first of all, can you do it again slowly, please? First of all the ingredients that I can put away."
109,1186,Ingredient,"First of all the ingredients that I can put away. So I need butter? Um, an egg? Or an egg yolk, I think you said?"
110,1056,Ingredient,"So I need butter? Um, an egg? Or an egg yolk, I think you said? Um, it's cream, egg yolk, sugar, beer. That's all there is."
111,1238,Ingredient,"Um, it's cream, egg yolk, sugar, beer. That's all there is. Um, it's cream, egg yolk, sugar, beer. That's all there is in it."
112,1382,Ingredient,"Um, it's cream, egg yolk, sugar, beer. That's all there is in it. But it comes in at the beginning."
113,1398,Ingredient,But it comes in at the beginning. But it comes in at the beginning.
114,1572,Preparation,"But it comes in at the beginning. So at the beginning, the beer is just heated, probably?"
115,471,Amount,"So at the beginning, the beer is just heated, probably? How many egg yolks do I need?"
116,828,Amount,How many egg yolks do I need? One.
117,1931,Preparation,One. And mix the yolk with the sugar?
118,472,Amount,And mix the yolk with the sugar? How much sugar?
119,1125,Ingredient,How much sugar? Is that where the sugar goes?
120,1187,Ingredient,Is that where the sugar goes? Now the sugar goes in there?
121,1932,Preparation,"Now the sugar goes in there? You're going to mix it? That's what you're supposed to stir, isn't it?"
122,2361,Temperature,"You're going to mix it? That's what you're supposed to stir, isn't it? Okay. And... And what heat should I use?"
123,1029,Ingredient,Okay. And... And what heat should I use? And what spices are in there?
124,1239,Ingredient,And what spices are in there? This is just an egg with cream and
125,1665,Preparation,This is just an egg with cream and Let it boil on low heat then.
126,2347,Temperature,Let it boil on low heat then. Let it cook on low heat then.
127,2497,Cooking technique,"Let it cook on low heat then. How do you cook asparagus? Can you look it up, please?"
128,2463,Cooking technique,"How do you cook asparagus? Can you look it up, please? Mhm? Oh, that's probably what they mean. Hold here and then"
129,2464,Cooking technique,"Mhm? Oh, that's probably what they mean. Hold here and then Not with too much force."
130,228,Time,Not with too much force. How long does it have to cook?
131,2498,Cooking technique,How long does it have to cook? So how do you cook the asparagus now? How long does it have to cook.
132,1666,Preparation,So how do you cook the asparagus now? How long does it have to cook. Mhm?
133,1933,Preparation,Mhm? So that's going into a pot of boiling water? The asparagus?
134,1934,Preparation,So that's going into a pot of boiling water? The asparagus? So I put it in there now?
135,123,Time,So I put it in there now? Twelve to 15 minutes.
136,229,Time,Twelve to 15 minutes. Twelve to then.
137,230,Time,Twelve to then. How long is it?
138,2126,Preparation,How long is it? And then into the boiling water and then twelve to then
139,2127,Preparation,"And then into the boiling water and then twelve to then Um, let it steep."
140,1188,Ingredient,"Um, let it steep. And the butter goes in, too, you said."
141,1935,Preparation,"And the butter goes in, too, you said. And the butter also comes in, you said."
142,1379,Ingredient,"And the butter also comes in, you said. Where sugar is the flavor carrier."
143,2663,Recipe,Where sugar is the flavor carrier. Can you look for a hollandaise sauce recipe?
144,2608,Recipe,Can you look for a hollandaise sauce recipe? Mmm?
145,473,Amount,Mmm? 83 grams of butter.
146,829,Amount,83 grams of butter. So 83 grams of butter.
147,1607,Preparation,So 83 grams of butter. Uh can you tell me again how the recipe for the hollandaise sauce goes exactly?
148,1383,Ingredient,Uh can you tell me again how the recipe for the hollandaise sauce goes exactly? Into the boiling water then
149,1400,Ingredient,Into the boiling water then When should we put the asparagus in? Into the boiling water then
150,124,Time,When should we put the asparagus in? Into the boiling water then and leave for twelve to fifteen minutes.
151,2128,Preparation,and leave for twelve to fifteen minutes. So. It goes in there now Let it boil briefly and then reduce the heat and leave it in for twelve to fifteen minutes.
152,2341,Temperature,So. It goes in there now Let it boil briefly and then reduce the heat and leave it in for twelve to fifteen minutes. Then reduce the heat.
153,1240,Ingredient,Then reduce the heat. Good. The ingredients are one egg yolk 83 grams of butter plus one tablespoon of water one tablespoon of lemon juice salt and pepper. And cayenne pepper.
154,2129,Preparation,Good. The ingredients are one egg yolk 83 grams of butter plus one tablespoon of water one tablespoon of lemon juice salt and pepper. And cayenne pepper. Um first of all I probably need to melt the butter.
155,1936,Preparation,Um first of all I probably need to melt the butter. Or do I have to do something else.
156,1937,Preparation,Or do I have to do something else. So now it's sort of on low heat melt the butter just?
157,1667,Preparation,So now it's sort of on low heat melt the butter just? Um so when the butter is melted quasi without that one has heated it then one stirs there then the egg yolk is stirred in?
158,1668,Preparation,Um so when the butter is melted quasi without that one has heated it then one stirs there then the egg yolk is stirred in? Or what comes next.
159,474,Amount,Or what comes next. Is there anything about the amount of salt and pepper?
160,1126,Ingredient,Is there anything about the amount of salt and pepper? Ok salt and pepper you said?
161,1189,Ingredient,Ok salt and pepper you said? Ok salt and pepper did you say?
162,1389,Ingredient,Ok salt and pepper did you say? And a little pepper and the cayenne pepper comes in at the end or what.
163,1401,Ingredient,And a little pepper and the cayenne pepper comes in at the end or what. And a little pepper and the cayenne pepper comes in at the end or what.
164,1669,Preparation,And a little pepper and the cayenne pepper comes in at the end or what. then the egg yolk is now quasi put into the hot water bath?
165,1938,Preparation,then the egg yolk is now quasi put into the hot water bath? That is DA comes now nothing pure and then now the yolk is put quasi in the hot water bath?
166,2277,Preparation,That is DA comes now nothing pure and then now the yolk is put quasi in the hot water bath? And what you have to do now with the yolk Im in the hot water bath and stir?
167,1670,Preparation,And what you have to do now with the yolk Im in the hot water bath and stir? What do you have to do next.
168,2130,Preparation,What do you have to do next. Ok but take from the HITZe
169,1671,Preparation,Ok but take from the HITZe And then add the butter by the tablespoon.
170,1939,Preparation,And then add the butter by the tablespoon. So I do it now quasi right I take the egg the egg mass here and and mix there now slowly the butter under it and stir the gescheit purely.
171,1672,Preparation,So I do it now quasi right I take the egg the egg mass here and and mix there now slowly the butter under it and stir the gescheit purely. What do I have to do after that?
172,1940,Preparation,What do I have to do after that? Good and now with salt pepper and cayenne pepper still
173,2499,Cooking technique, Yes now uh there I am not sure now. Can one now can one now the na uh the zucchini can one the uncooked must one the before cook or can one the raw then
174,2500,Cooking technique,Yes now uh there I am not sure now. Can one now can one now the na uh the zucchini can one the uncooked must one the before cook or can one the raw then Yes can ask times so the zucchini? Whether you have to somehow pre-fry or so.
175,2664,Recipe,Yes can ask times so the zucchini? Whether you have to somehow pre-fry or so. So question would be somehow for a vegetable sauce as I make a GeMÜsesoße yes no idea. A sauce with vegetables in it. How to prepare it.
176,2684,Recipe,So question would be somehow for a vegetable sauce as I make a GeMÜsesoße yes no idea. A sauce with vegetables in it. How to prepare it. So I want to make a sauce? A sauce with whipped cream and crème fraîche with the kidney so how should I say um kidney beans zucchini in it but how do you make such a GeMÜsesoße or yes sauce just a sauce. Sauce with cheese.
177,1003,Ingredient,So I want to make a sauce? A sauce with whipped cream and crème fraîche with the kidney so how should I say um kidney beans zucchini in it but how do you make such a GeMÜsesoße or yes sauce just a sauce. Sauce with cheese. Ok. Vegetable stock we need in any case and what else is there?
178,2695,Recipe,Ok. Vegetable stock we need in any case and what else is there? A sauce with whipped cream sauce with whipped cream and crème fraîche so you know or is that not too much then? Crème fraîche OR whipped cream?
179,1353,Ingredient,A sauce with whipped cream sauce with whipped cream and crème fraîche so you know or is that not too much then? Crème fraîche OR whipped cream? So you can still use uh the sour cream is the same as sour cream.
180,2796,Miscellaneous,So you can still use uh the sour cream is the same as sour cream. Do I have to use it?
181,1312,Ingredient,Do I have to use it? So I don't use kidney beans because I'm not sure if they fit.
182,1336,Ingredient,So I don't use kidney beans because I'm not sure if they fit. So kidney beans I use times not to it because I'm really not sure if that fits there.
183,231,Time,So kidney beans I use times not to it because I'm really not sure if that fits there. But you can still look once how long you have to cook the I do not know how long the asparagus. Whether that's like the pasta with ten minutes or longer or so
184,125,Time,But you can still look once how long you have to cook the I do not know how long the asparagus. Whether that's like the pasta with ten minutes or longer or so 15 to 20 minutes.
185,2415,Cooking technique,15 to 20 minutes. In the uh bubbling hot water or
186,2491,Cooking technique,In the uh bubbling hot water or And is there then still a uh uh uh do not know must one in the water then a salt reintun or something like that?
187,2501,Cooking technique,And is there then still a uh uh uh do not know must one in the water then a salt reintun or something like that? Um can you see if you have to peel the zucchini? Or if you just wash them? Or whether that is like the cucumber that you do so peel off
188,2465,Cooking technique,Um can you see if you have to peel the zucchini? Or if you just wash them? Or whether that is like the cucumber that you do so peel off So you don't have to peel it like a cucumber.
189,221,Time,So you don't have to peel it like a cucumber. How long have we been on the road?
190,232,Time,How long have we been on the road? How is it with the couscous? How long must the
191,475,Amount,How is it with the couscous? How long must the How many grams of asparagus do you normally take per person?
192,476,Amount,How many grams of asparagus do you normally take per person? What does it mean?
193,477,Amount,What does it mean? FIVE hundred grams of white asparagus per person?
194,761,Amount,FIVE hundred grams of white asparagus per person? FIVE hundred grams of white asparagus per person?
195,478,Amount,FIVE hundred grams of white asparagus per person? Ok. So 500 grams per person?
196,762,Amount,Ok. So 500 grams per person? Okay. So 500 grams per person?
197,2502,Cooking technique,"Okay. So 500 grams per person? You have to peel the asparagus beforehand, right? I suppose."
198,2466,Cooking technique,"You have to peel the asparagus beforehand, right? I suppose. So you can't just throw it in."
199,2503,Cooking technique,"So you can't just throw it in. How is that up there with the head, you have to cut it too?"
200,69,Knowledge,"How is that up there with the head, you have to cut it too? Why do you have to peel it?"
201,479,Amount,Why do you have to peel it? Can you still look at vegetable broth how much water that one takes there?
202,70,Knowledge,Can you still look at vegetable broth how much water that one takes there? I say why do you have to peel it because it has such a hard skin or?
203,54,Knowledge,I say why do you have to peel it because it has such a hard skin or? Uh bitter substances?
204,1254,Ingredient,"Uh bitter substances? Oh, that's like the potato then where?"
205,480,Amount,"Oh, that's like the potato then where? Uh, how much water do you have to take?"
206,481,Amount,"Uh, how much water do you have to take? When you cook the asparagus how much WATER do you need?"
207,1673,Preparation,When you cook the asparagus how much WATER do you need? So first the water and then? Uh
208,1390,Ingredient,So first the water and then? Uh Oh already right from the start
209,1402,Ingredient,Oh already right from the start Oh right from the start
210,1885,Preparation,Oh right from the start Ah right from the beginning
211,2264,Preparation,Ah right from the beginning Achso first first uh uh
212,2131,Preparation,Achso first first uh uh So first the water must bubble.
213,2265,Preparation,So first the water must bubble. So first the water must bubble.
214,482,Amount,So first the water must bubble. And how much salt must be added? A pinch or so? Probably
215,763,Amount,And how much salt must be added? A pinch or so? Probably A pinch like this or? Probably
216,2504,Cooking technique,A pinch like this or? Probably So you have to? you have to uh you have to when you put peppers or zucchini in a sauce for a sauce do you have to sauté it first?
217,2132,Preparation,So you have to? you have to uh you have to when you put peppers or zucchini in a sauce for a sauce do you have to sauté it first? Sauté with WATER.
218,1674,Preparation,Sauté with WATER. And then sauté.
219,1941,Preparation,And then sauté. So also in hot water give or?
220,1313,Ingredient,So also in hot water give or? Fat and fat and thing is ALSO shit. Fat and water.
221,1337,Ingredient,Fat and fat and thing is ALSO shit. Fat and water. Fat and fat and thing also sucks. Grease and water.
222,63,Knowledge,Fat and fat and thing also sucks. Grease and water. Can you look Alexander Andünsten what that actually means exactly?
223,166,Time,Can you look Alexander Andünsten what that actually means exactly? so I don't know exactly how long you have to cook it or something. Or steam it.
224,233,Time,so I don't know exactly how long you have to cook it or something. Or steam it. So I don't know exactly how long you have to cook it or something. Or steam it.
225,103,Time,"So I don't know exactly how long you have to cook it or something. Or steam it. And now you said a quarter of an hour, right?"
226,126,Time,"And now you said a quarter of an hour, right? Quarter of an hour to twenty minutes."
227,167,Time,Quarter of an hour to twenty minutes. Do you know how long it takes to steam? Is there anything in there?
228,483,Amount,Do you know how long it takes to steam? Is there anything in there? And one liter of water it said or?
229,484,Amount,And one liter of water it said or? Pour in a liter of boiling water.
230,764,Amount,Pour in a liter of boiling water. And one liter of water it has called or?
231,830,Amount,And one liter of water it has called or? Pour in a liter of boiling water.
232,1942,Preparation,Pour in a liter of boiling water. And a liter of water it was called or?
233,2133,Preparation,And a liter of water it was called or? Pour in a liter of boiling water.
234,1608,Preparation,Pour in a liter of boiling water. Uh where I am still a bit unsure is how to make the sauce. So uh how to practically prepare the sauce.
235,2665,Recipe,Uh where I am still a bit unsure is how to make the sauce. So uh how to practically prepare the sauce. Uh uh. Practically a cream sauce or vegetable cream sauce or so as just with the pasta where you said um you know with the pasta with the cream sauce to it.
236,1300,Ingredient,Uh uh. Practically a cream sauce or vegetable cream sauce or so as just with the pasta where you said um you know with the pasta with the cream sauce to it. The mozzarella there with the mozzarella the water comes away gell and that is then just cut so
237,2505,Cooking technique,The mozzarella there with the mozzarella the water comes away gell and that is then just cut so Oh yes Uh can still look uh once when the asparagus is through? So you know with the cake there you sometimes stab so purely? When HOW can you determine that the asparagus. is well cooked or so. yes.
238,2376,Cooking technique,Oh yes Uh can still look uh once when the asparagus is through? So you know with the cake there you sometimes stab so purely? When HOW can you determine that the asparagus. is well cooked or so. yes. And how do you check?
239,2377,Cooking technique,"And how do you check? Oh, now if the sauce is not creamy what do I do? If I have too much water?"
240,2378,Cooking technique,"Oh, now if the sauce is not creamy what do I do? If I have too much water? I'm afraid there is some kind of binder."
241,234,Time, But you could see how long BROKKoli needs. Until he is THROUGH.
242,127,Time,But you could see how long BROKKoli needs. Until he is THROUGH. One minute.
243,485,Amount,One minute. And then see how many grams of broccoli are in one serving?
244,486,Amount,And then see how many grams of broccoli are in one serving? How much did you say 350 grams of broccoli?
245,765,Amount,How much did you say 350 grams of broccoli? 350 grams of broccoli
246,2506,Cooking technique,350 grams of broccoli Ok. And then please look at how to wash broccoli.
247,2507,Cooking technique,Ok. And then please look at how to wash broccoli. Or see what you can cut away.
248,2382,Cooking technique,Or see what you can cut away. Mmm?
249,2383,Cooking technique,Mmm? Okay.
250,2384,Cooking technique,Okay. Okay.
251,2385,Cooking technique,Okay. Okay.
252,2508,Cooking technique,Okay. And then google how you can tell when broccoli is done.
253,2467,Cooking technique,And then google how you can tell when broccoli is done. But it should be soft.
254,2696,Recipe," Alex, give me some suggestions for broccoli. For example. [Alex] Okay. Yes."
255,2697,Recipe,"Alex, give me some suggestions for broccoli. For example. [Alex] Okay. Yes. Um, search suggestions with maybe couscous?"
256,1072,Ingredient,"Um, search suggestions with maybe couscous? Ok what is in couscous salad delicious spicy in it?"
257,2771,Recipe,Ok what is in couscous salad delicious spicy in it? Are there any other suggestions with couscous?
258,2698,Recipe,Are there any other suggestions with couscous? Ok let's make some recipe suggestions with chickpeas
259,1073,Ingredient,Ok let's make some recipe suggestions with chickpeas Ok? what's in it? Couscous with chickpeas?
260,2609,Recipe,Ok? what's in it? Couscous with chickpeas? Yes then what do I have to do for it?
261,487,Amount,Yes then what do I have to do for it? And how much couscous?
262,895,Amount,And how much couscous? Or how many people is the recipe?
263,488,Amount,Or how many people is the recipe? How much couscous? 25 125.
264,831,Amount,How much couscous? 25 125. 25 125.
265,2610,Recipe,25 125. So again? What do you want me to do?
266,489,Amount,So again? What do you want me to do? Ok. And the amount of salt water on the package or?
267,490,Amount,Ok. And the amount of salt water on the package or? One eighth of a liter. Okay.
268,832,Amount,One eighth of a liter. Okay. One eighth of a liter. Okay.
269,491,Amount,One eighth of a liter. Okay. And how much did you say? One eighth.
270,766,Amount,And how much did you say? One eighth. And how much did you say? One eighth.
271,492,Amount,And how much did you say? One eighth. If a quarter of a liter of water is with 250 grams of couscous.
272,833,Amount,If a quarter of a liter of water is with 250 grams of couscous. When a quarter of a liter of water is 250 grams of couscous.
273,1675,Preparation,When a quarter of a liter of water is 250 grams of couscous. So you should put aside now?
274,1886,Preparation,So you should put aside now? The grating will be done later.
275,1943,Preparation,The grating will be done later. So you should set aside now?
276,2134,Preparation,So you should set aside now? And then let it swell.
277,2135,Preparation,And then let it swell. The grating is only later.
278,1676,Preparation,The grating is only later. What happens next?
279,493,Amount,What happens next? How much oil is there?
280,494,Amount,"How much oil is there? Yes. Half of it. Okay, then?"
281,834,Amount,"Yes. Half of it. Okay, then? Yes. So half yes. Okay. Okay."
282,1677,Preparation,Yes. So half yes. Okay. Okay. How much more?
283,495,Amount,How much more? How many onions?
284,835,Amount,How many onions? I'll just use a whole one now because I don't have any carrots.
285,496,Amount,I'll just use a whole one now because I don't have any carrots. In half a tablespoon of oil.
286,836,Amount,In half a tablespoon of oil. In half a tablespoon of oil.
287,1380,Ingredient,In half a tablespoon of oil. And then somehow I don't know what to do with half a small onion.
288,1678,Preparation,And then somehow I don't know what to do with half a small onion. Okay. So sauté that now. In half a tablespoon of oil.
289,2136,Preparation,Okay. So sauté that now. In half a tablespoon of oil. Okay. Cook.
290,2817,Miscellaneous,Okay. Cook. Can you set the timer?
291,1679,Preparation,Can you set the timer? Ok how does it continue?
292,104,Time,Ok how does it continue? Ok so now I have to wait the ten minutes until it goes on.
293,1884,Preparation,Ok so now I have to wait the ten minutes until it goes on. Or can you do something one more step behind how to cut it into small pieces.
294,1944,Preparation,"Or can you do something one more step behind how to cut it into small pieces. Ok, so now I have to wait ten minutes until the next step."
295,497,Amount,"Ok, so now I have to wait ten minutes until the next step. but that's actually too much How much corn would that be?"
296,498,Amount,but that's actually too much How much corn would that be? How much corn was it?
297,499,Amount,How much corn was it? How much zucchini would I need?
298,196,Time,How much zucchini would I need? How long does the timer go on?
299,500,Amount,How long does the timer go on? Ok which spices do I add now and how much?
300,1030,Ingredient,Ok which spices do I add now and how much? Ok which spices do I add now and how much?
301,2137,Preparation,Ok which spices do I add now and how much? That is so what was next I think
302,1004,Ingredient,That is so what was next I think Coriander pepper and what else?
303,501,Amount,Coriander pepper and what else? Ok how much cinnamon and how much pepper?
304,502,Amount,Ok how much cinnamon and how much pepper? A FOURTH spoon. A HALF ESSpoon. So much
305,837,Amount,A FOURTH spoon. A HALF ESSpoon. So much A FOURTH of a spoon. A HALF of an ESSpoon. So much
306,503,Amount,A FOURTH of a spoon. A HALF of an ESSpoon. So much Uh how much coriander?
307,1680,Preparation,Uh how much coriander? how does it go on there?
308,1403,Ingredient,how does it go on there? When to add the couscous?
309,1887,Preparation,When to add the couscous? When do you add the couscous?
310,2138,Preparation,When do you add the couscous? I'm going to put chickpeas in there too. If already then already.
311,460,Amount,I'm going to put chickpeas in there too. If already then already. But is the liter of water is that now in the so did it convert that or was that now in the recipe.
312,504,Amount,But is the liter of water is that now in the so did it convert that or was that now in the recipe. Ok so I can assume if it was for four people before that I have to put a quarter of a liter of water.
